"","Number of People","CI_Prop_low","CI_Prop_upp","Year","Dem_group","Category"
"135",7195397,6999392,7391402,"2007","Age 55 to 59","Age"
"136",7221665,7054057,7389273,"2009","Age 60 to 64","Age"
"137",7229040,7004678,7453403,"2014","Age 50 to 54","Age"
"138",7273640,7039015,7508264,"2017","Age 55 to 59","Age"
"139",7274258,7031898,7516617,"2013","Age 50 to 54","Age"
"140",7299491,7096081,7502902,"2009","Age 50 to 54","Age"
"141",7319596,7090963,7548229,"2012","Age 50 to 54","Age"
"142",7344454,7135697,7553212,"2015","Age 55 to 59","Age"
"143",7409458,7198377,7620538,"2012","Age 55 to 59","Age"
"144",7478691,7273743,7683640,"2014","Age 55 to 59","Age"
"145",7517527,7296695,7738360,"2007","Age 50 to 54","Age"
"146",7537643,7316917,7758369,"2016","Age 55 to 59","Age"
"147",7540019,7332540,7747498,"2019","Age 65 to 69","Age"
"148",7540433,7354197,7726670,"2014","Age 65 to 69","Age"
"149",7572334,7389015,7755652,"2011","Age 60 to 64","Age"
"150",7575807,7335148,7816466,"2018","Age 55 to 59","Age"
"151",7583525,7371470,7795579,"2013","Age 55 to 59","Age"
"152",7592343,7397400,7787285,"2015","Age 65 to 69","Age"
"153",7781000,7515202,8046797,"2020","Age 65 to 69","Age"
"154",7821112,7577016,8065208,"2017","Age 65 to 69","Age"
"155",7908979,7712387,8105571,"2016","Age 65 to 69","Age"
"156",7990987,7767715,8214258,"2018","Age 65 to 69","Age"
"157",8089595,7878703,8300487,"2013","Age 60 to 64","Age"
"158",8404255,8185466,8623044,"2015","Age 60 to 64","Age"
"159",8517630,8298272,8736987,"2014","Age 60 to 64","Age"
"160",8567695,8342558,8792833,"2012","Age 60 to 64","Age"
"161",8647050,8339309,8954791,"2020","Age 60 to 64","Age"
"162",8758131,8502143,9014120,"2017","Age 60 to 64","Age"
"163",8857273,8604634,9109912,"2019","Age 60 to 64","Age"
"164",9077763,8838900,9316626,"2016","Age 60 to 64","Age"
"165",9349017,9067350,9630683,"2018","Age 60 to 64","Age"
"166",13127790,12739814,13515766,"2020","Healthy weight","BMI"
"167",13314858,13004239,13625478,"2019","Healthy weight","BMI"
"168",13434661,13091174,13778147,"2001","Age 70 and above","Age"
"169",13630803,13306626,13954981,"2017","Healthy weight","BMI"
"170",13773336,13423873,14122798,"2001","Healthy weight","BMI"
"171",13925414,13551710,14299118,"2001","Obese","BMI"
"172",14129929,13838898,14420961,"2015","Healthy weight","BMI"
"173",14225367,13960368,14490366,"2011","Healthy weight","BMI"
"174",14518969,14214669,14823269,"2016","Healthy weight","BMI"
"175",14599777,14262958,14936596,"2018","Healthy weight","BMI"
"176",14618581,14306443,14930719,"2014","Healthy weight","BMI"
"177",14622261,14333665,14910856,"2013","Healthy weight","BMI"
"178",14837401,14560016,15114786,"2009","Healthy weight","BMI"
"179",14966395,14613263,15319527,"2003","Age 70 and above","Age"
"180",15037573,14748639,15326506,"2005","Age 70 and above","Age"
"181",15091757,14872458,15311057,"2009","Age 70 and above","Age"
"182",15213464,14908058,15518869,"2012","Healthy weight","BMI"
"183",15427986,15179075,15676897,"2007","Age 70 and above","Age"
"184",15533842,15238613,15829071,"2007","Healthy weight","BMI"
"185",15744188,15520397,15967979,"2011","Age 70 and above","Age"
"186",15810315,15494486,16126144,"2005","Healthy weight","BMI"
"187",16574259,16204495,16944022,"2003","Healthy weight","BMI"
"188",16658333,16391069,16925597,"2012","Age 70 and above","Age"
"189",16777616,16507266,17047965,"2013","Age 70 and above","Age"
"190",17365838,16972370,17759305,"2003","Obese","BMI"
"191",17395753,16966565,17824940,"2001","Overweight","BMI"
"192",17524959,17238802,17811116,"2015","Age 70 and above","Age"
"193",17570800,17296850,17844750,"2014","Age 70 and above","Age"
"194",18152502,17802661,18502342,"2017","Age 70 and above","Age"
"195",18322015,17863607,18780423,"2001","Male","Sex"
"196",18466280,18154893,18777666,"2016","Age 70 and above","Age"
"197",18566515,18219703,18913326,"2005","Obese","BMI"
"198",19014605,18698999,19330211,"2019","Age 70 and above","Age"
"199",19216796,18753133,19680458,"2020","Overweight","BMI"
"200",19364528,19051116,19677940,"2011","Overweight","BMI"
"201",19416452,19026992,19805911,"2017","Overweight","BMI"
"202",19686359,19325740,20046979,"2018","Age 70 and above","Age"
"203",19738751,19369527,20107975,"2019","Overweight","BMI"
"204",19899213,19549088,20249337,"2015","Overweight","BMI"
"205",20104017,19761499,20446536,"2016","Overweight","BMI"
"206",20130985,19815837,20446133,"2009","Overweight","BMI"
"207",20290888,19971551,20610225,"2009","Obese","BMI"
"208",20307245,19896208,20718282,"2003","Overweight","BMI"
"209",20325238,19980846,20669630,"2013","Overweight","BMI"
"210",20488696,20030397,20946996,"2020","Age 70 and above","Age"
"211",20618689,20264573,20972805,"2007","Obese","BMI"
"212",20664900,20318115,21011684,"2012","Overweight","BMI"
"213",20727659,20389652,21065667,"2014","Overweight","BMI"
"214",20792919,20386981,21198856,"2018","Overweight","BMI"
"215",20837731,20505404,21170058,"2011","Obese","BMI"
"216",20897425,20525632,21269217,"2005","Overweight","BMI"
"217",21419516,21072764,21766268,"2007","Overweight","BMI"
"218",22423183,22046756,22799610,"2012","Obese","BMI"
"219",22432731,22067795,22797668,"2015","Obese","BMI"
