"","Number of People","CI_Prop_low","CI_Prop_upp","Year","Dem_group","Category"
"150",21606651,19559505,23653797,"2000","Female","Sex"
"151",21613011,19572042,23653979,"2008","Male","Sex"
"152",21784207,19323410,24245004,"2012","Obese","BMI"
"153",22115016,19906930,24323103,"2006","Obese","BMI"
"154",22302314,19925635,24678993,"2014","Male","Sex"
"155",22915203,20952123,24878284,"2002","Female","Sex"
"156",23037686,20971236,25104136,"2008","Obese","BMI"
"157",23674098,20914197,26434000,"2016","Male","Sex"
"158",23723084,21681778,25764391,"2010","Obese","BMI"
"159",26228325,23013351,29443298,"2018","Male","Sex"
"160",28181581,25890993,30472169,"2004","Female","Sex"
"161",29588925,26951808,32226041,"2014","Obese","BMI"
"162",29927711,27416689,32438732,"2006","Female","Sex"
"163",30108698,27257718,32959678,"2012","Female","Sex"
"164",30544636,27467727,33621545,"2016","Obese","BMI"
"165",30614793,28318736,32910849,"2010","Female","Sex"
"166",31792020,29417624,34166415,"2008","Female","Sex"
"167",32432538,29084733,35780344,"2018","Obese","BMI"
"168",35355824,32827313,37884335,"2000","US Population","Overall"
"169",36564681,33235974,39893388,"2018","Female","Sex"
"170",36894433,34097818,39691048,"2014","Female","Sex"
"171",36984596,33662861,40306332,"2016","Female","Sex"
"172",38405275,35936348,40874201,"2002","US Population","Overall"
"173",46995708,44124892,49866525,"2004","US Population","Overall"
"174",49426951,45837030,53016871,"2012","US Population","Overall"
"175",49607929,46552769,52663088,"2006","US Population","Overall"
"176",51538482,48674675,54402288,"2010","US Population","Overall"
"177",53405031,50448007,56362055,"2008","US Population","Overall"
"178",59196747,55709182,62684313,"2014","US Population","Overall"
"179",60658695,56508372,64809019,"2016","US Population","Overall"
"180",62793006,58333641,67252370,"2018","US Population","Overall"
